Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
LBY,,,52076250948.0,7684.0,2.5,1902.0,1097.0,3476.0,302.0,20.0,6777.0
LCA,,,2122450630.0,11611.0,1.7,33.0,30.0,101.0,18.0,81.0,183.0
LIE,,,,,,6.0,4.0,21.0,7.0,86.0,38.0
LKA,,,84008783756.0,3853.0,2.3,5108.0,3135.0,10769.0,2311.0,81.0,21324.0
LSO,,,2460072444.0,1158.0,1.5,690.0,421.0,910.0,105.0,71.0,2125.0
LTU,,,54219315600.0,19455.0,3.9,,,,,32.0,
LUX,,,71104919108.0,114705.0,2.3,97.0,75.0,357.0,88.0,9.0,616.0
LVA,,,34117202555.0,17836.0,2.2,,,,,32.0,
MAC,,,53859116536.0,84096.0,-4.7,90.0,62.0,417.0,72.0,,640.0
MAF,,,,,,10.0,6.0,19.0,4.0,,38.0
MAR,,,118725279596.0,3204.0,2.3,9836.0,5862.0,18110.0,2663.0,37.0,36472.0
MDA,,,11955435457.0,4499.0,3.5,,,,,57.0,
MDG,,,14083906357.0,522.0,4.8,10887.0,5551.0,9711.0,821.0,62.0,26969.0
MDV,,,5729248472.0,10791.0,5.2,106.0,84.0,322.0,19.0,60.0,531.0
MEX,,,1258286717125.0,9863.0,-0.1,33406.0,22140.0,62568.0,9462.0,20.0,127576.0
MHL,,,,,,22.0,13.0,21.0,3.0,23.0,59.0
MKD,,,12694823394.0,6093.0,3.6,342.0,257.0,1191.0,293.0,42.0,2083.0
MLI,,,17510141171.0,891.0,5.0,9299.0,3864.0,6004.0,490.0,57.0,19658.0
MLT,,,14786156563.0,29416.0,4.4,63.0,47.0,239.0,92.0,5.0,440.0
MMR,,,76085852617.0,1408.0,2.9,14006.0,9795.0,26996.0,3249.0,69.0,54045.0
MNE,,,5494736901.0,8832.0,3.6,114.0,81.0,336.0,97.0,33.0,628.0
