"LOCAL","SP_DYN_LE00_IN","SP_DYN_IMRT_IN","NY_GDP_MKTP_CD","NY_GDP_PCAP_CD","NY_GDP_MKTP_KD_ZG","200343","200144","200345","200151","SP_RUR_TOTL_ZS","200101","ANO"
"MUS","75.0","13.0","1.3259351418E10","10485.0","3.8","232.0","195.0","699.0","138.0","59.0","1264.0","2017"
"PLW",,"17.0","2.839949E8","15859.0","1.7","4.0","2.0","10.0","2.0","20.0","18.0","2018"
"KHM","69.0","26.0","2.0016747754E10","1270.0","7.0","4949.0","3187.0","6959.0","671.0","77.0","15766.0","2016"
"JOR","74.0","14.0","4.2231295775E10","4242.0","1.9","3413.0","1926.0","4243.0","383.0","9.0","9965.0","2018"
"KOR","82.0","3.0","1.500111596236E12","29289.0","2.9","6882.0","6577.0","30725.0","6800.0","18.0","50983.0","2016"
"MMR","66.0","39.0","6.7184236747E10","1267.0","5.8","14497.0","9634.0","26075.0","2840.0","70.0","53045.0","2016"
"IDN","72.0","21.0","1.042240309413E12","3894.0","5.2","71070.0","45402.0","135521.0","15678.0","45.0","267671.0","2018"
"CUW","78.0",,"3.151910782E9","19951.0","0.3","32.0","20.0","84.0","24.0","11.0","160.0","2015"
"FIN","81.0","2.0","2.4060790701E11","43784.0","2.7","898.0","643.0","2813.0","1143.0","15.0","5498.0","2016"
"SLE","54.0","81.0","3.739577973E9","499.0","4.2","3097.0","1518.0","2651.0","223.0","58.0","7488.0","2017"
"MLT",,,"1.4786156563E10","29416.0","4.4","63.0","47.0","239.0","92.0","5.0","440.0","2019"
"GUY","69.0","27.0","3.504024213E9","4543.0","3.4","223.0","160.0","342.0","46.0","74.0","771.0","2016"
"QAT",,,"1.83466208791E11","64782.0","-0.2","385.0","367.0","2037.0","43.0","1.0","2832.0","2019"
"SUR",,,"3.985250737E9","6855.0","-0.8","156.0","99.0","285.0","41.0","34.0","581.0","2019"
"SVK","77.0","5.0","8.8457167724E10","16309.0","4.8","829.0","654.0","3189.0","764.0","46.0","5436.0","2015"
"COL","77.0","12.0","3.33568926393E11","6719.0","2.5","11461.0","8715.0","25275.0","4210.0","19.0","49661.0","2018"
"ATG",,,"1.727759259E9","17790.0","4.7","21.0","15.0","52.0","9.0","75.0","97.0","2019"
"HRV",,,"6.0415553039E10","14853.0","2.9","601.0","443.0","2225.0","862.0","43.0","4130.0","2019"
"PER","76.0","12.0","1.89805300842E11","6229.0","3.3","8557.0","5446.0","14236.0","2232.0","23.0","30471.0","2015"
"VCT","72.0","16.0","7.7442963E8","7075.0","1.9","26.0","18.0","56.0","10.0","49.0","109.0","2016"
"AUS","83.0","3.0","1.330135756844E12","54066.0","2.4","4687.0","3136.0","12975.0","3787.0","14.0","24585.0","2017"
"BEN","61.0","64.0","1.1388160958E10","1077.0","1.8","4552.0","2099.0","3584.0","341.0","54.0","10576.0","2015"
"BHS","73.0","9.0","1.19384E10","31589.0","0.4","88.0","66.0","198.0","26.0","17.0","378.0","2016"
"THA","77.0","8.0","4.56294704153E11","6593.0","4.1","12011.0","9557.0","39727.0","7916.0","51.0","69210.0","2017"
"SLV","72.0","13.0","2.343824E10","3706.0","2.4","1795.0","1299.0","2741.0","491.0","30.0","6325.0","2015"
"IND","69.0","32.0","2.652754685835E12","1982.0","7.0","367851.0","245212.0","645519.0","80095.0","66.0","1338677.0","2017"
"BLZ","74.0","11.0","1.8712E9","4885.0","2.1","116.0","78.0","171.0","18.0","54.0","383.0","2018"
"TUR","77.0","11.0","8.59796872684E11","10949.0","6.1","20103.0","13008.0","39239.0","6179.0","26.0","78529.0","2015"
"UKR","71.0","8.0","9.3355993629E10","2188.0","2.2",,,,,"31.0",,"2016"
"BRA","75.0","15.0","1.795700168991E12","8710.0","-3.3","45458.0","34215.0","109375.0","17115.0","14.0","206163.0","2016"
"USA","79.0","6.0","1.9485393853E13","59958.0","2.2","61306.0","44192.0","169461.0","50126.0","18.0","325085.0","2017"
"PSE","74.0","17.0","1.46159E10","3199.0","0.9","1894.0","1007.0","1810.0","152.0","24.0","4863.0","2018"
"SAU","75.0","6.0","7.86521831573E11","23339.0","2.4","8440.0","4763.0","19382.0","1117.0","16.0","33703.0","2018"
"ASM",,,"6.36E8","11467.0","2.2","17.0","11.0","25.0","3.0","13.0","55.0","2018"
"TLS","69.0","42.0","1.656039024E9","1358.0","3.6","474.0","263.0","429.0","54.0","70.0","1219.0","2016"
"GUY","69.0","27.0","3.197220339E9","4166.0","3.1","225.0","159.0","339.0","44.0","74.0","767.0","2015"
"MAR","76.0","22.0","1.01179808076E11","2875.0","4.5","9615.0","6035.0","16804.0","2210.0","39.0","34664.0","2015"
"MOZ","58.0","58.0","1.1936999283E10","429.0","3.8","12583.0","5576.0","8864.0","807.0","65.0","27830.0","2016"
"NER","62.0","49.0","1.1166063887E10","517.0","5.0","10821.0","4123.0","6098.0","560.0","84.0","21602.0","2017"
"SVN",,,"5.3742159517E10","25739.0","2.4","314.0","189.0","1156.0","420.0","45.0","2079.0","2019"
"PAN","78.0","14.0","5.79077E10","14344.0","5.0","1114.0","675.0","1936.0","312.0","33.0","4037.0","2016"
"KNA",,"10.0","9.71162963E8","18812.0","2.8","11.0","8.0","29.0","3.0","69.0","52.0","2016"
"LBY","73.0","11.0","3.788324365E10","5757.0","26.7","1878.0","1092.0","3326.0","285.0","20.0","6581.0","2017"
"LVA","75.0","4.0","2.7734140217E10","14153.0","1.8","301.0","197.0","1088.0","389.0","32.0","1974.0","2016"
"BWA","67.0","33.0","1.4420604206E10","6800.0","-1.7","740.0","400.0","899.0","81.0","33.0","2121.0","2015"
"NGA","54.0","78.0","4.04649527538E11","2176.0","-1.6","82020.0","35274.0","63560.0","5106.0","51.0","185960.0","2016"
"CMR","58.0","54.0","3.2643697596E10","1364.0","4.6","10304.0","4752.0","8218.0","654.0","45.0","23927.0","2016"
"FRO","82.0",,"2.833300519E9","58623.0",,"10.0","7.0","24.0","8.0","58.0","48.0","2017"
"VGB",,,,,,"5.0","4.0","17.0","2.0","53.0","29.0","2015"
"VGB",,,,,,"5.0","4.0","18.0","2.0","53.0","29.0","2016"
"VGB",,,,,,"5.0","4.0","18.0","3.0","53.0","30.0","2017"
"VGB",,,,,,"5.0","4.0","18.0","3.0","52.0","30.0","2018"
"VGB",,,,,,"5.0","4.0","18.0","3.0","52.0","30.0","2019"
"MYS","76.0","7.0","3.01255454041E11","9818.0","4.4","7584.0","5673.0","15525.0","1903.0","25.0","30685.0","2016"
"BIH","77.0","5.0","1.6913330694E10","4995.0","3.1",,,,,"52.0",,"2016"
"CHE","84.0","4.0","6.79950482029E11","80450.0","1.8","1258.0","932.0","4708.0","1558.0","26.0","8456.0","2017"
"ATG","77.0","5.0","1.610574074E9","16727.0","7.4","21.0","15.0","52.0","8.0","75.0","96.0","2018"
"PHL","71.0","23.0","3.28480738148E11","3123.0","6.9","33096.0","20200.0","46685.0","5192.0","53.0","105173.0","2017"
"BRN","75.0","9.0","1.1400854268E10","27158.0","-2.5","100.0","70.0","232.0","18.0","23.0","420.0","2016"
"BGR","75.0","7.0","5.0630703922E10","7054.0","4.0","1028.0","701.0","4030.0","1441.0","26.0","7200.0","2015"
"BHS","74.0","9.0","1.21504E10","31827.0","0.1","87.0","66.0","201.0","27.0","17.0","382.0","2017"
"JAM",,,"1.6458071068E10","5582.0","0.7","694.0","511.0","1481.0","263.0","44.0","2948.0","2019"
"USA","79.0","6.0","1.8707188235E13","57928.0","1.6","61448.0","44398.0","168608.0","48561.0","18.0","323016.0","2016"
"SEN",,,"2.3578084052E10","1447.0","5.3","6981.0","3192.0","5618.0","505.0","52.0","16296.0","2019"
"GNB",,,"1.340389411E9","698.0","4.6","810.0","379.0","677.0","55.0","56.0","1921.0","2019"
"ITA","83.0","3.0","1.83589923732E12","30230.0","0.8","8309.0","5857.0","33117.0","13296.0","30.0","60578.0","2015"
"ITA","83.0","3.0","1.961796197354E12","32407.0","1.7","8176.0","5848.0","32999.0","13651.0","30.0","60674.0","2017"
"DOM",,,"8.8941298258E10","8282.0","5.1","2976.0","1904.0","5076.0","784.0","18.0","10739.0","2019"
"BFA","60.0","52.0","1.2822558022E10","688.0","6.0","8463.0","3722.0","6012.0","449.0","72.0","18646.0","2016"
"MNP",,,"1.601E9","28305.0","25.6","13.0","9.0","31.0","4.0","8.0","57.0","2017"
"OMN","77.0","10.0","6.5481144343E10","14619.0","5.0","981.0","650.0","2746.0","103.0","18.0","4479.0","2016"
"MDA","72.0","14.0","1.1457410264E10","4234.0","4.3","643.0","484.0","2461.0","465.0","57.0","4052.0","2018"
"EST","78.0","3.0","2.3048864243E10","17522.0","1.8","212.0","135.0","721.0","248.0","32.0","1315.0","2015"
"COD","60.0","68.0","4.6831342213E10","557.0","5.8","38811.0","15976.0","26745.0","2537.0","56.0","84068.0","2018"
"SDN","65.0","42.0","2.6078607539E10","624.0","-2.3","16933.0","8501.0","14870.0","1497.0","65.0","41802.0","2018"
"OMN","78.0","10.0","7.9275422627E10","16415.0","1.8","1074.0","635.0","3005.0","116.0","15.0","4829.0","2018"
"KAZ","73.0","9.0","1.79339994859E11","9813.0","4.1","5214.0","2291.0","9460.0","1354.0","43.0","18320.0","2018"
"IND","69.0","33.0","2.294797978292E12","1733.0","8.3","369970.0","243896.0","633918.0","76733.0","67.0","1324517.0","2016"
"BMU","81.0",,,,,"10.0","8.0","34.0","12.0",,"64.0","2015"
"LIE","83.0",,,,,"6.0","4.0","21.0","7.0","86.0","38.0","2018"
"BMU","81.0",,,,,"9.0","7.0","33.0","13.0",,"63.0","2017"
"BMU","82.0",,,,,"9.0","7.0","33.0","13.0",,"63.0","2018"
"BMU","81.0",,,,,"10.0","8.0","34.0","13.0",,"63.0","2016"
"NRU",,,"1.1822343E8","9397.0",,"4.0","2.0","5.0",,,"11.0","2019"
"CYP",,,"2.4564647935E10","27858.0","3.2",,,,,"33.0",,"2019"
"BMU",,,,,,"9.0","7.0","33.0","14.0",,"63.0","2019"
"JPN",,,"5.08176954238E12","40247.0","0.7",,,,,"8.0",,"2019"
"SOM","57.0","79.0",,,,"6821.0","3033.0","4318.0","416.0","56.0","14589.0","2017"
"NIC","74.0","16.0","1.3063873078E10","2021.0","-4.0","1953.0","1194.0","2979.0","339.0","41.0","6466.0","2018"
"SLE","53.0","88.0","4.218723875E9","588.0","-20.6","3006.0","1451.0","2501.0","214.0","59.0","7172.0","2015"
"MWI",,,"7.666704427E9","412.0","4.4","8098.0","3887.0","6152.0","492.0","83.0","18629.0","2019"
"BEL","81.0","3.0","4.62149679344E11","40992.0","2.0","1919.0","1325.0","5995.0","2048.0","2.0","11288.0","2015"
"ECU","76.0","13.0","9.9937696E10","6060.0","-1.2","4734.0","3026.0","7615.0","1115.0","36.0","16491.0","2016"
"AND",,"3.0","2.896679212E9","37475.0","3.7",,,,,"12.0",,"2016"
"PRY",,,"3.814528894E10","5415.0",,"2056.0","1342.0","3181.0","466.0","38.0","7045.0","2019"
"BEL",,,"5.29606710418E11","46117.0","1.4","1968.0","1301.0","6077.0","2193.0","2.0","11539.0","2019"
"MKD","75.0","11.0","1.0064515432E10","4840.0","3.9","350.0","285.0","1184.0","260.0","43.0","2079.0","2015"
"ARM","75.0","12.0","1.1527458566E10","3915.0","7.5","602.0","383.0","1633.0","327.0","37.0","2945.0","2017"
"CAF",,,"2.220307369E9","468.0","3.0","2084.0","1044.0","1483.0","134.0","58.0","4745.0","2019"
"ISR","83.0","3.0","3.53253406955E11","40542.0","3.5","2304.0","1223.0","3751.0","967.0","8.0","8244.0","2017"
"LAO","67.0","39.0","1.6853087485E10","2424.0","6.9","2286.0","1408.0","2982.0","278.0","66.0","6953.0","2017"
"LIE",,,,,,"6.0","4.0","21.0","7.0","86.0","38.0","2019"
"SMR",,"2.0","1.468895284E9","43842.0","2.4","5.0","3.0","19.0","6.0","3.0","34.0","2016"
"THA","76.0","9.0","4.01295941041E11","5840.0","3.1","12351.0","9649.0","39429.0","7285.0","52.0","68715.0","2015"
"STP","70.0","24.0","4.22295934E8","2001.0","2.7","90.0","40.0","75.0","6.0","27.0","211.0","2018"
"LVA",,,"3.4117202555E10","17836.0","2.2",,,,,"32.0",,"2019"
"COL",,,"3.23802808108E11","6432.0","3.3","11387.0","8713.0","25826.0","4413.0","19.0","50339.0","2019"
"VUT",,,"9.17058851E8","3058.0","2.9","116.0","54.0","119.0","11.0","75.0","300.0","2019"
"GHA","63.0","36.0","5.899813233E10","2026.0","8.1","11014.0","5691.0","11529.0","888.0","45.0","29121.0","2017"
"MHL",,"30.0","1.845996E8","3214.0","1.6","23.0","11.0","22.0","2.0","24.0","57.0","2015"
"PSE",,,,,,"1925.0","1010.0","1888.0","158.0","24.0","4981.0","2019"
"PSE","74.0","18.0","1.44981E10","3254.0","3.1","1864.0","1003.0","1734.0","147.0","24.0","4747.0","2017"
"CAN","82.0","5.0","1.528243213982E12","42322.0","1.0","5784.0","4620.0","19992.0","5987.0","19.0","36383.0","2016"
"NPL","70.0","29.0","2.1185922408E10","777.0","0.6","8812.0","6088.0","10836.0","1527.0","81.0","27263.0","2016"
"FRA","82.0","3.0","2.438207896252E12","36638.0","1.1","11829.0","7547.0","32908.0","12169.0","20.0","64453.0","2015"
"TCA",,,"8.9350165E8","24833.0","5.9","8.0","5.0","21.0","2.0","8.0","36.0","2015"
"KGZ","71.0","17.0","8.271108638E9","1308.0","3.8","2039.0","1035.0","2947.0","283.0","64.0","6304.0","2018"
"SGP","83.0","2.0","3.73217081851E11","66189.0","3.4","707.0","723.0","3668.0","660.0",,"5757.0","2018"
"AUS","82.0","3.0","1.20884699374E12","49971.0","2.8","4598.0","3155.0","12835.0","3674.0","14.0","24263.0","2016"
"STP","69.0","27.0","3.18266475E8","1596.0","3.8","86.0","37.0","70.0","6.0","30.0","199.0","2015"
"VCT","72.0","15.0","7.92177778E8","7213.0","1.0","25.0","18.0","56.0","10.0","48.0","110.0","2017"
"NCL","77.0",,,,,"64.0","42.0","141.0","23.0","31.0","271.0","2015"
"NCL","77.0",,,,,"64.0","43.0","143.0","24.0","30.0","274.0","2016"
"NCL","77.0",,,,,"64.0","44.0","145.0","25.0","30.0","277.0","2017"
"TLS","69.0","41.0","1.60966933E9","1295.0","-3.8","476.0","269.0","444.0","54.0","70.0","1243.0","2017"
"GHA","63.0","39.0","4.8564863888E10","1744.0","2.2","10636.0","5499.0","10878.0","837.0","46.0","27849.0","2015"
"FRA",,,"2.715518274227E12","40494.0","1.5",,,,,"19.0",,"2019"
"NCL","77.0",,,,,"64.0","44.0","146.0","26.0","29.0","280.0","2018"
"VIR","79.0",,"3.748E9","34797.0","0.2","21.0","14.0","52.0","18.0","5.0","105.0","2015"
"BWA",,,"1.8340510789E10","7961.0","3.0","778.0","422.0","1004.0","101.0","30.0","2304.0","2019"
"FSM","68.0","26.0","4.019323E8","3568.0","0.2","36.0","24.0","49.0","5.0","77.0","113.0","2018"
"BHS","74.0","8.0","1.24245E10","32218.0","1.6","87.0","66.0","205.0","28.0","17.0","386.0","2018"
"TTO","73.0","16.0","2.3808146748E10","17130.0","-0.2","284.0","176.0","780.0","149.0","47.0","1390.0","2018"
"LKA","77.0","7.0","8.7428125558E10","4077.0","3.6","5157.0","3114.0","10719.0","2139.0","82.0","21128.0","2017"
"NCL",,,,,,"63.0","45.0","148.0","27.0","29.0","283.0","2019"
"SWE","82.0","2.0","5.1565467147E11","51965.0","2.1","1710.0","1176.0","4998.0","1951.0","13.0","9836.0","2016"
"CAN","82.0","5.0","1.556129524418E12","43586.0","0.7","5761.0","4649.0","19833.0","5784.0","19.0","36027.0","2015"
"FSM","67.0","27.0","3.322652E8","3015.0","0.9","36.0","24.0","47.0","4.0","77.0","110.0","2016"
"BTN","71.0","26.0","2.450364928E9","3287.0","4.7","195.0","151.0","355.0","44.0","60.0","746.0","2017"
"NZL",,,"2.06928765544E11","42084.0","2.2","936.0","633.0","2449.0","765.0","13.0","4783.0","2019"
"ESP",,,"1.394116310769E12","29614.0","2.0","6813.0","4475.0","26266.0","9183.0","19.0","46737.0","2019"
"LBN",,,"5.3367042272E10","7784.0","-5.6",,,,,"11.0",,"2019"
"SLE",,,"3.941474311E9","504.0","5.5","3182.0","1590.0","2811.0","230.0","58.0","7813.0","2019"
"GNB","58.0","54.0","1.458156026E9","778.0","3.8","794.0","371.0","656.0","53.0","57.0","1874.0","2018"
"SLB","72.0","18.0","1.230459714E9","1986.0","3.2","250.0","119.0","229.0","22.0","77.0","619.0","2016"
"CPV","73.0","17.0","1.769787215E9","3293.0","3.7","157.0","100.0","256.0","24.0","35.0","537.0","2017"
"GTM",,,"7.671038588E10","4620.0","3.8","5953.0","3706.0","7056.0","867.0","49.0","17581.0","2019"
"AGO","59.0","58.0","1.16193649124E11","4167.0","0.9","13136.0","5384.0","8729.0","635.0","37.0","27884.0","2015"
"CPV","73.0","17.0","1.966983316E9","3617.0","4.5","156.0","98.0","264.0","25.0","34.0","544.0","2018"
"OMN","77.0","10.0","6.8400260078E10","16029.0","4.7","932.0","626.0","2613.0","97.0","19.0","4267.0","2015"
"YEM","66.0","43.0","2.7591261663E10","968.0","0.8","11290.0","6004.0","10385.0","820.0","63.0","28499.0","2018"
"LSO","51.0","71.0","2.372280099E9","1152.0","2.7","688.0","424.0","848.0","99.0","73.0","2059.0","2015"
"NER","61.0","51.0","1.028462719E10","495.0","5.7","10427.0","3939.0","5885.0","537.0","84.0","20789.0","2016"
"MNE","76.0","3.0","4.054712083E9","6517.0","3.4","116.0","85.0","339.0","86.0","34.0","627.0","2015"
"RWA","68.0","28.0","9.253098954E9","772.0","4.0","4809.0","2351.0","4479.0","341.0","83.0","11981.0","2017"
"MWI","63.0","38.0","5.43304016E9","316.0","2.5","7688.0","3555.0","5506.0","456.0","83.0","17205.0","2016"
"DOM","73.0","25.0","7.570472019E10","7281.0","6.7","2967.0","1924.0","4811.0","696.0","21.0","10398.0","2016"
"MDV","78.0","8.0","4.735989972E9","9541.0","6.8","101.0","91.0","285.0","19.0","61.0","496.0","2017"
"SDN","64.0","45.0","7.4294471279E10","1910.0","4.9","16146.0","7810.0","13607.0","1340.0","66.0","38903.0","2015"
"SOM","56.0","81.0",,,,"6659.0","2928.0","4197.0","401.0","56.0","14186.0","2016"
"ROU",,,"2.50077444017E11","12920.0","4.1","3016.0","2018.0","10692.0","3639.0","46.0","19365.0","2019"
"GNB","57.0","58.0","1.178204501E9","661.0","6.3","759.0","357.0","617.0","48.0","57.0","1782.0","2016"
"GNQ","58.0","66.0","1.1240809132E10","9250.0","-8.8","455.0","223.0","507.0","30.0","29.0","1215.0","2016"
"DNK",,,"3.48078018464E11","59822.0","2.4","947.0","721.0","2952.0","1152.0","12.0","5772.0","2019"
"CIV","57.0","63.0","4.796423456E10","2013.0","7.2","10096.0","4904.0","8150.0","672.0","50.0","23823.0","2016"
"GUY","70.0","26.0","3.555205811E9","4586.0","2.1","222.0","159.0","347.0","48.0","73.0","775.0","2017"
"LUX","82.0","2.0","7.0919958016E10","116654.0","3.1","96.0","74.0","348.0","86.0","9.0","604.0","2018"
"BGD","72.0","30.0","1.95078678697E11","1248.0","6.6","45749.0","30351.0","72182.0","7974.0","66.0","156256.0","2015"
"SWZ","57.0","46.0","3.840677845E9","3448.0","1.3","431.0","243.0","396.0","44.0","77.0","1114.0","2016"
"GNQ","57.0","68.0","1.3185496836E10","11283.0","-9.1","439.0","210.0","491.0","30.0","29.0","1169.0","2015"
"PAK","67.0","59.0","3.04567253219E11","1465.0","5.6","73762.0","41525.0","83651.0","8969.0","64.0","207906.0","2017"
"NLD","82.0","3.0","8.33869641687E11","48675.0","2.9","2784.0","2060.0","8979.0","3199.0","9.0","17021.0","2017"
"SHN",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2015"
"SHN",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2016"
"SHN",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2017"
"SHN",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2018"
"FIN",,,"2.68761201365E11","48686.0","1.0","886.0","616.0","2806.0","1225.0","15.0","5532.0","2019"
"SHN",,,,,,"1.0","1.0","3.0","1.0",,"6.0","2019"
"BEL","81.0","3.0","5.03788776543E11","44289.0","1.9","1946.0","1313.0","6039.0","2122.0","2.0","11420.0","2017"
"PAK",,,"2.78221906023E11","1285.0","1.0","75916.0","42337.0","88952.0","9361.0","63.0","216565.0","2019"
"MRT","64.0","53.0","6.758390729E9","1578.0","3.5","1724.0","824.0","1600.0","134.0","47.0","4283.0","2017"
"BGR","75.0","6.0","5.8950125036E10","8331.0","3.5","1026.0","648.0","3955.0","1474.0","25.0","7102.0","2017"
"OMN",,,"7.6983094928E10","15474.0","0.5","1115.0","593.0","3145.0","122.0","15.0","4975.0","2019"
"BLZ",,,"1.8796136E9","4815.0","0.3","116.0","79.0","177.0","19.0","54.0","390.0","2019"
"SYR","70.0","14.0",,,,"5653.0","3375.0","7714.0","724.0","47.0","17466.0","2016"
"TZA","64.0","39.0","5.3320625959E10","1005.0","6.8","24224.0","10603.0","18422.0","1412.0","67.0","54660.0","2017"
"LAO","67.0","42.0","1.4390442307E10","2135.0","7.3","2266.0","1410.0","2806.0","259.0","67.0","6741.0","2015"
"CMR","59.0","51.0","3.8694095651E10","1534.0","4.1","10750.0","4993.0","8785.0","688.0","44.0","25216.0","2018"
"CAF","53.0","85.0","2.220978978E9","476.0","3.8","2067.0","1010.0","1458.0","132.0","59.0","4666.0","2018"
"MMR","67.0","37.0","7.6168043982E10","1418.0","6.8","14163.0","9748.0","26690.0","3107.0","69.0","53708.0","2018"
"ZMB","63.0","42.0","2.5868142077E10","1535.0","3.5","7653.0","3474.0","5374.0","351.0","57.0","16854.0","2017"
"CYM",,,"4.898908676E9","78296.0","3.1","12.0","8.0","37.0","6.0",,"63.0","2016"
"SDN","65.0","44.0","5.1772232495E10","1299.0","4.7","16412.0","8041.0","14004.0","1390.0","66.0","39847.0","2016"
"MAC","84.0",,"5.0751059058E10","81517.0","9.9","83.0","70.0","409.0","61.0",,"623.0","2017"
"MDA","72.0","14.0","9.669759987E9","3510.0","4.7","642.0","511.0","2464.0","443.0","57.0","4060.0","2017"
"COM","63.0","56.0","9.66029542E8","1243.0","1.1","312.0","154.0","288.0","22.0","72.0","777.0","2015"
"POL","78.0","4.0","4.72037130973E11","12432.0","3.1","5617.0","4304.0","21862.0","6207.0","40.0","37989.0","2016"
"GRL",,,,,,"12.0","8.0","32.0","5.0","13.0","57.0","2019"
"TCA",,,"9.5035751E8","25995.0","4.4","8.0","5.0","21.0","2.0","7.0","37.0","2016"
"DEU","81.0","3.0","3.466790065012E12","42099.0","2.2","10944.0","8666.0","45085.0","17498.0","23.0","82194.0","2016"
"COG","64.0","37.0","9.035182062E9","1768.0","-1.8","2144.0","947.0","1885.0","135.0","34.0","5111.0","2017"
"HRV","78.0","4.0","5.5319605061E10","13412.0","3.1","604.0","466.0","2276.0","838.0","43.0","4183.0","2017"
"ALB",,,"1.5278077447E10","5353.0","2.2","501.0","443.0","1527.0","409.0","39.0","2881.0","2019"
"BRA","76.0","13.0","1.885482534238E12","9001.0","1.3","44688.0","33923.0","112168.0","18691.0","13.0","209469.0","2018"
"LSO",,,"2.460072444E9","1158.0","1.5","690.0","421.0","910.0","105.0","71.0","2125.0","2019"
"EST","78.0","2.0","3.0747159198E10","23258.0","4.8","216.0","124.0","722.0","260.0","31.0","1323.0","2018"
"ABW","76.0",,,,,"19.0","15.0","58.0","14.0","57.0","106.0","2018"
"ABW",,,,,,"19.0","15.0","58.0","15.0","56.0","106.0","2019"
"FRO","82.0",,"2.689157271E9","55823.0",,"10.0","7.0","24.0","8.0","58.0","48.0","2016"
"POL","78.0","4.0","5.26380811261E11","13861.0","4.9","5647.0","4122.0","21758.0","6426.0","40.0","37953.0","2017"
"NZL","82.0","5.0","1.88223664747E11","40106.0","3.7","923.0","655.0","2382.0","699.0","14.0","4659.0","2016"
"FRA","83.0","3.0","2.595151045198E12","38812.0","2.3","11743.0","7544.0","32801.0","12754.0","20.0","64843.0","2017"
"BOL","70.0","25.0","3.3000198263E10","3036.0","4.9","3522.0","2088.0","4525.0","734.0","32.0","10870.0","2015"
"BGD","72.0","27.0","2.49711052937E11","1564.0","7.3","45071.0","30664.0","75728.0","8223.0","64.0","159685.0","2017"
"SSD","57.0","64.0","1.199780076E10","1120.0","-10.8","4553.0","2169.0","3629.0","366.0","81.0","10716.0","2015"
"TON","71.0","14.0","4.01109307E8","3966.0","3.4","37.0","19.0","39.0","6.0","77.0","101.0","2016"
"SEN","67.0","33.0","2.0996564752E10","1362.0","7.4","6667.0","3029.0","5250.0","474.0","53.0","15419.0","2017"
"DMA",,"32.0","5.19837037E8","7275.0","-6.8","13.0","13.0","38.0","7.0","30.0","71.0","2017"
"MKD","76.0","10.0","1.1307058382E10","5431.0","1.1","347.0","270.0","1189.0","276.0","42.0","2082.0","2017"
"NAM","63.0","29.0","1.3454211124E10","5495.0","0.7","904.0","487.0","968.0","89.0","50.0","2448.0","2018"
"BFA","61.0","50.0","1.4169905602E10","738.0","6.2","8672.0","3838.0","6221.0","462.0","71.0","19193.0","2017"
"SXM",,,,,"-8.4","8.0","7.0","24.0","3.0",,"41.0","2017"
"AUT","82.0","3.0","4.55508255028E11","51525.0","2.4","1271.0","983.0","4948.0","1690.0","42.0","8891.0","2018"
"GEO","73.0","9.0","1.5141758567E10","4062.0","2.9","773.0","502.0","2158.0","582.0","42.0","4015.0","2016"
"BIH",,,"2.0047848435E10","6073.0","2.6","485.0","391.0","1857.0","568.0","51.0","3301.0","2019"
"CIV",,,"5.8792205642E10","2286.0","6.9","10728.0","5315.0","8935.0","739.0","49.0","25717.0","2019"
"FIN","82.0","2.0","2.55122545771E11","46317.0","3.1","896.0","634.0","2809.0","1173.0","15.0","5511.0","2017"
"UKR","72.0","8.0","1.12190355158E11","2641.0","2.5",,,,,"31.0",,"2017"
"KGZ","71.0","20.0","6.67817834E9","1121.0","3.9","1877.0","1095.0","2729.0","258.0","64.0","5959.0","2015"
"CUW","78.0",,"3.116610112E9","19458.0","-1.7","31.0","20.0","84.0","26.0","11.0","162.0","2017"
"HUN",,,"1.60967157504E11","16476.0","4.9","1398.0","1024.0","5355.0","1907.0","28.0","9685.0","2019"
"URY","78.0","7.0","5.9530088536E10","17322.0","2.6","714.0","513.0","1705.0","505.0","5.0","3437.0","2017"
"HUN","76.0","4.0","1.24529741437E11","12652.0","3.8","1413.0","1142.0","5515.0","1708.0","30.0","9778.0","2015"
"IRN","76.0","13.0","4.17983578231E11","5253.0","13.4","19121.0","12034.0","43702.0","4706.0","26.0","79564.0","2016"
"SOM",,,,,,"7162.0","3245.0","4589.0","446.0","54.0","15443.0","2019"
"LBN","79.0","7.0","5.1205122504E10","7630.0","1.5",,,,,"12.0",,"2016"
"IRL","82.0","3.0","3.00523297713E11","63197.0","3.7","1022.0","546.0","2511.0","617.0","37.0","4696.0","2016"
"TGO","60.0","51.0","4.180866177E9","571.0","5.7","3086.0","1404.0","2628.0","205.0","60.0","7323.0","2015"
"HTI","64.0","49.0","9.65872117E9","868.0","1.5","3698.0","2179.0","4696.0","551.0","45.0","11123.0","2018"
"TUN","76.0","15.0","4.3173480832E10","3862.0","1.2","2660.0","1737.0","5926.0","857.0","32.0","11180.0","2015"
"ZZA","82.0",,,,,"26.0","19.0","93.0","27.0","69.0","165.0","2015"
"LBY","72.0","11.0","2.6197143268E10","4035.0","-2.8","1865.0","1096.0","3254.0","278.0","20.0","6492.0","2016"
"ZZA","83.0",,,,,"26.0","20.0","95.0","29.0","69.0","169.0","2017"
"ZZA","83.0",,,,,"26.0","20.0","95.0","29.0","69.0","170.0","2018"
