Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
GMB,61.0,41.0,1470006034.0,684.0,1.9,955.0,442.0,695.0,57.0,40.0,2149.0
GNB,57.0,58.0,1178204501.0,661.0,6.3,759.0,357.0,617.0,48.0,57.0,1782.0
GNQ,58.0,66.0,11240809132.0,9250.0,-8.8,455.0,223.0,507.0,30.0,29.0,1215.0
GRC,81.0,4.0,195222443513.0,18116.0,-0.2,1524.0,1076.0,5772.0,2243.0,22.0,10615.0
GRD,72.0,14.0,1061631222.0,9628.0,3.7,26.0,18.0,56.0,11.0,64.0,110.0
GRL,71.0,,2707146783.0,48182.0,4.7,12.0,8.0,32.0,5.0,14.0,56.0
GTM,74.0,23.0,66053725049.0,4173.0,2.7,5914.0,3532.0,6376.0,762.0,50.0,16583.0
GUF,,,,,,89.0,46.0,121.0,12.0,,268.0
GUM,79.0,,5795000000.0,35563.0,0.3,41.0,28.0,79.0,15.0,5.0,163.0
GUY,69.0,27.0,3504024213.0,4543.0,3.4,223.0,160.0,342.0,46.0,74.0,771.0
HKG,84.0,,320837638329.0,43731.0,2.2,811.0,779.0,4513.0,1141.0,,7244.0
HND,75.0,16.0,21717622071.0,2343.0,3.9,3059.0,1967.0,3833.0,412.0,44.0,9271.0
HRV,78.0,4.0,51596973259.0,12360.0,3.5,607.0,477.0,2299.0,826.0,44.0,4209.0
HTI,63.0,52.0,7970649131.0,735.0,1.5,3686.0,2152.0,4490.0,513.0,47.0,10840.0
HUN,76.0,4.0,127507473626.0,12992.0,2.2,1402.0,1116.0,5480.0,1756.0,29.0,9753.0
IDN,71.0,23.0,931877364178.0,3563.0,5.0,71229.0,44472.0,131406.0,14449.0,46.0,261556.0
IMN,,,6592627599.0,79156.0,7.4,13.0,10.0,43.0,17.0,48.0,83.0
IND,69.0,33.0,2294797978292.0,1733.0,8.3,369970.0,243896.0,633918.0,76733.0,67.0,1324517.0
IRL,82.0,3.0,300523297713.0,63197.0,3.7,1022.0,546.0,2511.0,617.0,37.0,4696.0
IRN,76.0,13.0,417983578231.0,5253.0,13.4,19121.0,12034.0,43702.0,4706.0,26.0,79564.0
IRQ,70.0,24.0,174878976034.0,4777.0,15.2,14315.0,7372.0,13770.0,1154.0,30.0,36611.0
ISL,82.0,2.0,20618363256.0,61467.0,6.6,67.0,47.0,172.0,47.0,6.0,332.0
ISR,82.0,3.0,318950599018.0,37322.0,4.0,2265.0,1201.0,3713.0,930.0,8.0,8109.0
ITA,83.0,3.0,1875797463584.0,30940.0,1.3,8253.0,5855.0,33067.0,13488.0,30.0,60663.0
JAM,74.0,13.0,14075894320.0,4843.0,1.4,706.0,535.0,1415.0,250.0,45.0,2906.0
JOR,74.0,15.0,39196676056.0,4104.0,2.0,3388.0,1846.0,3959.0,361.0,9.0,9554.0
KAZ,72.0,10.0,137278320084.0,7715.0,1.1,4869.0,2497.0,9231.0,1234.0,43.0,17831.0
KEN,65.0,32.0,69188755364.0,1411.0,5.9,20063.0,9989.0,17932.0,1068.0,74.0,49052.0
KGZ,71.0,19.0,6813092066.0,1121.0,4.3,1939.0,1072.0,2799.0,265.0,64.0,6074.0
KHM,69.0,26.0,20016747754.0,1270.0,7.0,4949.0,3187.0,6959.0,671.0,77.0,15766.0
KIR,68.0,44.0,178328873.0,1585.0,5.1,39.0,22.0,47.0,4.0,48.0,113.0
KNA,,10.0,971162963.0,18812.0,2.8,11.0,8.0,29.0,3.0,69.0,52.0
KOR,82.0,3.0,1500111596236.0,29289.0,2.9,6882.0,6577.0,30725.0,6800.0,18.0,50983.0
KWT,75.0,7.0,109419728567.0,27653.0,2.9,843.0,431.0,2595.0,89.0,,3957.0
LAO,67.0,40.0,15805692546.0,2309.0,7.0,2273.0,1411.0,2894.0,268.0,66.0,6846.0
LBR,63.0,57.0,3277826000.0,715.0,-1.6,1917.0,885.0,1638.0,147.0,50.0,4587.0
LBY,72.0,11.0,26197143268.0,4035.0,-2.8,1865.0,1096.0,3254.0,278.0,20.0,6492.0
LCA,76.0,16.0,1865375222.0,10362.0,4.0,35.0,33.0,96.0,17.0,81.0,180.0
LIE,82.0,,6237264055.0,165629.0,,6.0,4.0,21.0,6.0,86.0,38.0
LKA,76.0,7.0,82401038710.0,3886.0,4.5,5170.0,3116.0,10681.0,2053.0,82.0,21021.0
LSO,52.0,70.0,2165408362.0,1044.0,5.0,689.0,422.0,864.0,100.0,73.0,2075.0
LTU,75.0,4.0,43021972485.0,14999.0,2.6,423.0,352.0,1567.0,548.0,33.0,2890.0
LUX,83.0,2.0,60691483443.0,104278.0,4.6,94.0,72.0,332.0,81.0,10.0,579.0
LVA,75.0,4.0,27734140217.0,14153.0,1.8,301.0,197.0,1088.0,389.0,32.0,1974.0
MAC,84.0,,45387299721.0,74061.0,-0.7,79.0,75.0,403.0,56.0,,613.0
MAF,80.0,,,,,10.0,5.0,19.0,3.0,,36.0
MAR,76.0,21.0,103311649248.0,2897.0,1.1,9710.0,5985.0,17134.0,2297.0,39.0,35126.0
MDA,72.0,14.0,8071480541.0,2880.0,4.4,642.0,541.0,2459.0,424.0,57.0,4066.0
MDG,66.0,40.0,11848615018.0,476.0,4.0,10280.0,5110.0,8788.0,717.0,64.0,24894.0
MDV,78.0,8.0,4379136462.0,9209.0,6.3,99.0,90.0,269.0,18.0,61.0,476.0
MEX,75.0,12.0,1077903618176.0,8740.0,2.9,33676.0,22048.0,59132.0,8477.0,20.0,123333.0
MHL,,29.0,200558400.0,3474.0,1.3,23.0,11.0,22.0,2.0,24.0,58.0
MKD,75.0,11.0,10672471861.0,5129.0,2.8,349.0,278.0,1186.0,268.0,42.0,2081.0
MLI,58.0,65.0,14020002871.0,780.0,5.8,8597.0,3450.0,5465.0,453.0,59.0,17965.0
MLT,82.0,6.0,11444483134.0,25133.0,5.8,62.0,52.0,238.0,85.0,6.0,436.0
MMR,66.0,39.0,67184236747.0,1267.0,5.8,14497.0,9634.0,26075.0,2840.0,70.0,53045.0
MNE,77.0,3.0,4377033429.0,7034.0,2.9,115.0,84.0,339.0,89.0,34.0,627.0
MNG,69.0,15.0,11186734674.0,3660.0,1.2,900.0,487.0,1550.0,120.0,32.0,3056.0
MNP,,,1250000000.0,22247.0,28.3,13.0,9.0,31.0,3.0,9.0,56.0
MOZ,58.0,58.0,11936999283.0,429.0,3.8,12583.0,5576.0,8864.0,807.0,65.0,27830.0
MRT,64.0,54.0,6398744505.0,1537.0,1.3,1682.0,805.0,1546.0,130.0,48.0,4164.0
MSR,,,,,,1.0,,3.0,1.0,,5.0
MTQ,,,,,,63.0,45.0,196.0,73.0,,377.0
MUS,74.0,13.0,12232463656.0,9682.0,3.8,239.0,197.0,695.0,132.0,59.0,1262.0
MWI,63.0,38.0,5433040160.0,316.0,2.5,7688.0,3555.0,5506.0,456.0,83.0,17205.0
MYS,76.0,7.0,301255454041.0,9818.0,4.4,7584.0,5673.0,15525.0,1903.0,25.0,30685.0
MYT,,,,,,101.0,46.0,90.0,9.0,,246.0
NAM,63.0,31.0,10665634661.0,4523.0,-0.3,869.0,488.0,913.0,87.0,52.0,2358.0
NCL,77.0,,,,,64.0,43.0,143.0,24.0,30.0,274.0
NER,61.0,51.0,10284627190.0,495.0,5.7,10427.0,3939.0,5885.0,537.0,84.0,20789.0
NGA,54.0,78.0,404649527538.0,2176.0,-1.6,82020.0,35274.0,63560.0,5106.0,51.0,185960.0
NIC,74.0,16.0,13286048705.0,2108.0,4.6,1948.0,1205.0,2843.0,308.0,42.0,6304.0
NIU,,,,,,,,1.0,,,2.0
NLD,82.0,3.0,783528181705.0,46008.0,2.2,2815.0,2066.0,8981.0,3120.0,9.0,16981.0
NOR,82.0,2.0,368819929542.0,70459.0,1.1,935.0,678.0,2767.0,871.0,19.0,5251.0
NPL,70.0,29.0,21185922408.0,777.0,0.6,8812.0,6088.0,10836.0,1527.0,81.0,27263.0
NRU,,28.0,100087349.0,7670.0,3.6,4.0,2.0,4.0,,,10.0
NZL,82.0,5.0,188223664747.0,40106.0,3.7,923.0,655.0,2382.0,699.0,14.0,4659.0
OMN,77.0,10.0,65481144343.0,14619.0,5.0,981.0,650.0,2746.0,103.0,18.0,4479.0
PAK,67.0,61.0,278654637738.0,1368.0,5.5,72693.0,41083.0,81068.0,8788.0,64.0,203631.0
PAN,78.0,14.0,57907700000.0,14344.0,5.0,1114.0,675.0,1936.0,312.0,33.0,4037.0
PER,76.0,12.0,191895943824.0,6205.0,4.0,8381.0,5437.0,14771.0,2337.0,22.0,30926.0
PHL,71.0,23.0,318627003965.0,3074.0,7.1,33091.0,20042.0,45593.0,4937.0,54.0,103664.0
PLW,,18.0,300125600.0,16932.0,0.8,4.0,2.0,10.0,1.0,21.0,18.0
