ref_area,sex,classif1,time,obs_value
AUS,SEX_M,AGE_YTHADULT_YGE25,2019,3.782
AUS,SEX_F,AGE_YTHADULT_YGE15,2019,5.1062
AUS,SEX_F,AGE_YTHADULT_Y15-64,2019,5.2536
AUS,SEX_F,AGE_YTHADULT_Y15-24,2019,10.6093
AUS,SEX_F,AGE_YTHADULT_YGE25,2019,3.9963
AUT,SEX_T,AGE_YTHADULT_YGE15,2015,5.7227
AUT,SEX_T,AGE_YTHADULT_Y15-64,2015,5.8226
AUT,SEX_T,AGE_YTHADULT_Y15-24,2015,10.5866
AUT,SEX_T,AGE_YTHADULT_YGE25,2015,5.0146
AUT,SEX_M,AGE_YTHADULT_YGE15,2015,6.0872
AUT,SEX_M,AGE_YTHADULT_Y15-64,2015,6.2155
AUT,SEX_M,AGE_YTHADULT_Y15-24,2015,11.0941
AUT,SEX_M,AGE_YTHADULT_YGE25,2015,5.359
AUT,SEX_F,AGE_YTHADULT_YGE15,2015,5.3101
AUT,SEX_F,AGE_YTHADULT_Y15-64,2015,5.3805
AUT,SEX_F,AGE_YTHADULT_Y15-24,2015,10.0131
AUT,SEX_F,AGE_YTHADULT_YGE25,2015,4.6246
AUT,SEX_T,AGE_YTHADULT_YGE15,2016,6.0138
AUT,SEX_T,AGE_YTHADULT_Y15-64,2016,6.1113
AUT,SEX_T,AGE_YTHADULT_Y15-24,2016,11.2477
AUT,SEX_T,AGE_YTHADULT_YGE25,2016,5.2609
AUT,SEX_M,AGE_YTHADULT_YGE15,2016,6.4271
AUT,SEX_M,AGE_YTHADULT_Y15-64,2016,6.5531
AUT,SEX_M,AGE_YTHADULT_Y15-24,2016,12.142000000000001
AUT,SEX_M,AGE_YTHADULT_YGE25,2016,5.6021
AUT,SEX_F,AGE_YTHADULT_YGE15,2016,5.5443
AUT,SEX_F,AGE_YTHADULT_Y15-64,2016,5.6123
AUT,SEX_F,AGE_YTHADULT_Y15-24,2016,10.2251
AUT,SEX_F,AGE_YTHADULT_YGE25,2016,4.8737
AUT,SEX_T,AGE_YTHADULT_YGE15,2017,5.499
AUT,SEX_T,AGE_YTHADULT_Y15-64,2017,5.5785
AUT,SEX_T,AGE_YTHADULT_Y15-24,2017,9.8035
AUT,SEX_T,AGE_YTHADULT_YGE25,2017,4.9179
AUT,SEX_M,AGE_YTHADULT_YGE15,2017,5.9098
AUT,SEX_M,AGE_YTHADULT_Y15-64,2017,6.0009
AUT,SEX_M,AGE_YTHADULT_Y15-24,2017,10.7642
AUT,SEX_M,AGE_YTHADULT_YGE25,2017,5.263
AUT,SEX_F,AGE_YTHADULT_YGE15,2017,5.033
AUT,SEX_F,AGE_YTHADULT_Y15-64,2017,5.102
AUT,SEX_F,AGE_YTHADULT_Y15-24,2017,8.7403
AUT,SEX_F,AGE_YTHADULT_YGE25,2017,4.5251
AUT,SEX_T,AGE_YTHADULT_YGE15,2018,4.848
AUT,SEX_T,AGE_YTHADULT_Y15-64,2018,4.9212
AUT,SEX_T,AGE_YTHADULT_Y15-24,2018,9.394
AUT,SEX_T,AGE_YTHADULT_YGE25,2018,4.2463
AUT,SEX_M,AGE_YTHADULT_YGE15,2018,5.0208
AUT,SEX_M,AGE_YTHADULT_Y15-64,2018,5.103
AUT,SEX_M,AGE_YTHADULT_Y15-24,2018,9.413
AUT,SEX_M,AGE_YTHADULT_YGE25,2018,4.4452
AUT,SEX_F,AGE_YTHADULT_YGE15,2018,4.6512
AUT,SEX_F,AGE_YTHADULT_Y15-64,2018,4.7153
AUT,SEX_F,AGE_YTHADULT_Y15-24,2018,9.3727
AUT,SEX_F,AGE_YTHADULT_YGE25,2018,4.0193
AUT,SEX_T,AGE_YTHADULT_YGE15,2019,4.4866
AUT,SEX_T,AGE_YTHADULT_Y15-64,2019,4.5524
AUT,SEX_T,AGE_YTHADULT_Y15-24,2019,8.5397
AUT,SEX_T,AGE_YTHADULT_YGE25,2019,3.9686
AUT,SEX_M,AGE_YTHADULT_YGE15,2019,4.6074
AUT,SEX_M,AGE_YTHADULT_Y15-64,2019,4.6856
AUT,SEX_M,AGE_YTHADULT_Y15-24,2019,9.1898
AUT,SEX_M,AGE_YTHADULT_YGE25,2019,4.0178
AUT,SEX_F,AGE_YTHADULT_YGE15,2019,4.3494
AUT,SEX_F,AGE_YTHADULT_Y15-64,2019,4.402
AUT,SEX_F,AGE_YTHADULT_Y15-24,2019,7.7918
AUT,SEX_F,AGE_YTHADULT_YGE25,2019,3.9127
AZE,SEX_T,AGE_YTHADULT_YGE15,2015,4.96
AZE,SEX_T,AGE_YTHADULT_Y15-64,2015,4.99
AZE,SEX_T,AGE_YTHADULT_Y15-24,2015,13.42
AZE,SEX_T,AGE_YTHADULT_YGE25,2015,3.81
AZE,SEX_M,AGE_YTHADULT_YGE15,2015,4.09
AZE,SEX_M,AGE_YTHADULT_Y15-64,2015,4.12
AZE,SEX_M,AGE_YTHADULT_Y15-24,2015,11.39
AZE,SEX_M,AGE_YTHADULT_YGE25,2015,3.04
AZE,SEX_F,AGE_YTHADULT_YGE15,2015,5.87
AZE,SEX_F,AGE_YTHADULT_Y15-64,2015,5.91
AZE,SEX_F,AGE_YTHADULT_Y15-24,2015,15.78
AZE,SEX_F,AGE_YTHADULT_YGE25,2015,4.6
AZE,SEX_T,AGE_YTHADULT_YGE15,2016,5.0
AZE,SEX_M,AGE_YTHADULT_YGE15,2016,4.2
AZE,SEX_F,AGE_YTHADULT_YGE15,2016,6.0
AZE,SEX_T,AGE_YTHADULT_YGE15,2017,5.0
AZE,SEX_M,AGE_YTHADULT_YGE15,2017,4.1
AZE,SEX_F,AGE_YTHADULT_YGE15,2017,5.9
AZE,SEX_T,AGE_YTHADULT_YGE15,2018,4.9
AZE,SEX_M,AGE_YTHADULT_YGE15,2018,4.1
AZE,SEX_F,AGE_YTHADULT_YGE15,2018,5.8
AZE,SEX_T,AGE_YTHADULT_YGE15,2019,4.85
AZE,SEX_T,AGE_YTHADULT_Y15-64,2019,4.89
AZE,SEX_T,AGE_YTHADULT_Y15-24,2019,12.44
AZE,SEX_T,AGE_YTHADULT_YGE25,2019,3.83
AZE,SEX_M,AGE_YTHADULT_YGE15,2019,4.03
AZE,SEX_M,AGE_YTHADULT_Y15-64,2019,4.08
AZE,SEX_M,AGE_YTHADULT_Y15-24,2019,10.92
AZE,SEX_M,AGE_YTHADULT_YGE25,2019,3.06
AZE,SEX_F,AGE_YTHADULT_YGE15,2019,5.71
AZE,SEX_F,AGE_YTHADULT_Y15-64,2019,5.75
AZE,SEX_F,AGE_YTHADULT_Y15-24,2019,14.18
AZE,SEX_F,AGE_YTHADULT_YGE25,2019,4.63
BEL,SEX_T,AGE_YTHADULT_YGE15,2015,8.482000000000001
BEL,SEX_T,AGE_YTHADULT_Y15-64,2015,8.5637
BEL,SEX_T,AGE_YTHADULT_Y15-24,2015,22.1316
BEL,SEX_T,AGE_YTHADULT_YGE25,2015,7.3042
BEL,SEX_M,AGE_YTHADULT_YGE15,2015,9.0935
BEL,SEX_M,AGE_YTHADULT_Y15-64,2015,9.206
BEL,SEX_M,AGE_YTHADULT_Y15-24,2015,23.8014
BEL,SEX_M,AGE_YTHADULT_YGE25,2015,7.7811
BEL,SEX_F,AGE_YTHADULT_YGE15,2015,7.7692
BEL,SEX_F,AGE_YTHADULT_Y15-64,2015,7.8202
BEL,SEX_F,AGE_YTHADULT_Y15-24,2015,20.0483
BEL,SEX_F,AGE_YTHADULT_YGE25,2015,6.7516
BEL,SEX_T,AGE_YTHADULT_YGE15,2016,7.8297
BEL,SEX_T,AGE_YTHADULT_Y15-64,2016,7.888
BEL,SEX_T,AGE_YTHADULT_Y15-24,2016,20.1232
BEL,SEX_T,AGE_YTHADULT_YGE25,2016,6.8364
BEL,SEX_M,AGE_YTHADULT_YGE15,2016,8.0596
BEL,SEX_M,AGE_YTHADULT_Y15-64,2016,8.1441
BEL,SEX_M,AGE_YTHADULT_Y15-24,2016,21.7479
BEL,SEX_M,AGE_YTHADULT_YGE25,2016,6.934
BEL,SEX_F,AGE_YTHADULT_YGE15,2016,7.5609
BEL,SEX_F,AGE_YTHADULT_Y15-64,2016,7.5905
BEL,SEX_F,AGE_YTHADULT_Y15-24,2016,18.1553
BEL,SEX_F,AGE_YTHADULT_YGE25,2016,6.7226
BEL,SEX_T,AGE_YTHADULT_YGE15,2017,7.0862
BEL,SEX_T,AGE_YTHADULT_Y15-64,2017,7.1472
BEL,SEX_T,AGE_YTHADULT_Y15-24,2017,19.250999999999998
BEL,SEX_T,AGE_YTHADULT_YGE25,2017,6.1323
BEL,SEX_M,AGE_YTHADULT_YGE15,2017,7.1138
BEL,SEX_M,AGE_YTHADULT_Y15-64,2017,7.1875
BEL,SEX_M,AGE_YTHADULT_Y15-24,2017,20.2274
BEL,SEX_M,AGE_YTHADULT_YGE25,2017,6.0532
BEL,SEX_F,AGE_YTHADULT_YGE15,2017,7.053999999999999
BEL,SEX_F,AGE_YTHADULT_Y15-64,2017,7.1006
BEL,SEX_F,AGE_YTHADULT_Y15-24,2017,18.0386
