ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE25,2016,4.3281,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE15,2017,5.5911,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2017,5.7566,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-24,2017,12.5904,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE25,2017,4.2128,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE15,2018,5.2983,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2018,5.4573,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-24,2018,11.7822,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE25,2018,4.0221,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE15,2019,5.1589,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2019,5.3104,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-24,2019,11.7429,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_YGE25,2019,3.8822,,,,
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_YGE15,2015,5.7227,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2015,5.8226,,,,R1:2384
