Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
TUN,76.0,15.0,39802430355.0,3481.0,1.9,2757.0,1676.0,6080.0,921.0,31.0,11433.0
TUR,77.0,10.0,852676779694.0,10514.0,7.5,20281.0,13288.0,40851.0,6697.0,25.0,81116.0
TUV,,21.0,40619252.0,3572.0,4.1,4.0,2.0,5.0,1.0,38.0,11.0
TZA,64.0,39.0,53320625959.0,1005.0,6.8,24224.0,10603.0,18422.0,1412.0,67.0,54660.0
UGA,63.0,35.0,30756466548.0,747.0,3.9,19480.0,8501.0,12395.0,791.0,77.0,41167.0
URY,78.0,7.0,59530088536.0,17322.0,2.6,714.0,513.0,1705.0,505.0,5.0,3437.0
USA,79.0,6.0,19485393853000.0,59958.0,2.2,61306.0,44192.0,169461.0,50126.0,18.0,325085.0
UZB,71.0,20.0,59159945321.0,1827.0,4.5,9114.0,5700.0,15782.0,1363.0,49.0,31960.0
VAT,,,,,,,,,,,1.0
VCT,72.0,15.0,792177778.0,7213.0,1.0,25.0,18.0,56.0,10.0,48.0,110.0
VEN,72.0,21.0,,,,8224.0,4924.0,14213.0,2042.0,12.0,29402.0
VGB,,,,,,5.0,4.0,18.0,3.0,53.0,30.0
VIR,79.0,,3855000000.0,35938.0,-1.7,21.0,14.0,51.0,20.0,4.0,105.0
VNM,75.0,17.0,223779865815.0,2366.0,6.8,21850.0,14578.0,51521.0,6651.0,65.0,94601.0
VUT,70.0,23.0,880043554.0,3082.0,4.4,111.0,52.0,112.0,10.0,75.0,286.0
WLF,,,,,,2.0,2.0,6.0,1.0,,12.0
WSM,73.0,14.0,831903810.0,4258.0,1.0,75.0,35.0,76.0,9.0,82.0,195.0
YEM,66.0,43.0,24561327989.0,882.0,-5.1,11134.0,5955.0,9952.0,794.0,64.0,27835.0
ZAF,64.0,30.0,349554116684.0,6132.0,1.4,16618.0,9883.0,27533.0,2975.0,34.0,57010.0
ZMB,63.0,42.0,25868142077.0,1535.0,3.5,7653.0,3474.0,5374.0,351.0,57.0,16854.0
ZWE,61.0,35.0,22040902300.0,1548.0,4.7,6064.0,2847.0,4913.0,412.0,68.0,14237.0
ZZA,83.0,,,,,26.0,20.0,95.0,29.0,69.0,169.0
AND,,3.0,3000180750.0,38963.0,0.3,,,,,12.0,
JPN,84.0,2.0,4866864409658.0,38387.0,2.2,,,,,8.0,
LBN,79.0,7.0,53140638269.0,7801.0,0.9,,,,,12.0,
MCO,,3.0,6431314957.0,167517.0,-3.4,,,,,,
UKR,72.0,8.0,112190355158.0,2641.0,2.5,,,,,31.0,
