ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
EGY,SDG_0852_SEX_AGE_RT,BA:582,SEX_T,AGE_YTHADULT_Y15-64,2018,9.9691,,,,R1:3513
ESP,SDG_0852_SEX_AGE_RT,BA:2244,SEX_T,AGE_YTHADULT_Y15-64,2015,22.1795,,,,R1:2384
ESP,SDG_0852_SEX_AGE_RT,BA:2244,SEX_T,AGE_YTHADULT_Y15-64,2016,19.7464,,,,R1:2384
ESP,SDG_0852_SEX_AGE_RT,BA:2244,SEX_T,AGE_YTHADULT_Y15-64,2017,17.3307,,,,R1:2384
ESP,SDG_0852_SEX_AGE_RT,BA:2244,SEX_T,AGE_YTHADULT_Y15-64,2018,15.3503,,,,R1:2384
ESP,SDG_0852_SEX_AGE_RT,BA:2244,SEX_T,AGE_YTHADULT_Y15-64,2019,14.1888,,,,R1:2384
EST,SDG_0852_SEX_AGE_RT,BA:2518,SEX_T,AGE_YTHADULT_Y15-64,2015,6.2908,,,,R1:2384
EST,SDG_0852_SEX_AGE_RT,BA:2518,SEX_T,AGE_YTHADULT_Y15-64,2016,6.9678,,,,R1:2384
EST,SDG_0852_SEX_AGE_RT,BA:2518,SEX_T,AGE_YTHADULT_Y15-64,2017,5.9443,,,,R1:2384
EST,SDG_0852_SEX_AGE_RT,BA:2518,SEX_T,AGE_YTHADULT_Y15-64,2018,5.4359,,,,R1:2384
EST,SDG_0852_SEX_AGE_RT,BA:2518,SEX_T,AGE_YTHADULT_Y15-64,2019,4.5789,,,,R1:2384
FIN,SDG_0852_SEX_AGE_RT,BA:2486,SEX_T,AGE_YTHADULT_Y15-64,2015,9.5987,,,,R1:2384
FIN,SDG_0852_SEX_AGE_RT,BA:2486,SEX_T,AGE_YTHADULT_Y15-64,2016,9.0076,,,,R1:2384
FIN,SDG_0852_SEX_AGE_RT,BA:2486,SEX_T,AGE_YTHADULT_Y15-64,2017,8.8335,,,,R1:2384
FIN,SDG_0852_SEX_AGE_RT,BA:2486,SEX_T,AGE_YTHADULT_Y15-64,2018,7.5224,,,,R1:2384
FIN,SDG_0852_SEX_AGE_RT,BA:2486,SEX_T,AGE_YTHADULT_Y15-64,2019,6.8335,,,,R1:2384
FJI,SDG_0852_SEX_AGE_RT,BA:1135,SEX_T,AGE_YTHADULT_Y15-64,2016,4.4694,,,,R1:3513
FRA,SDG_0852_SEX_AGE_RT,BA:2260,SEX_T,AGE_YTHADULT_Y15-64,2015,10.4366,,,,R1:2384
FRA,SDG_0852_SEX_AGE_RT,BA:2260,SEX_T,AGE_YTHADULT_Y15-64,2016,10.1292,,,,R1:2384
FRA,SDG_0852_SEX_AGE_RT,BA:2260,SEX_T,AGE_YTHADULT_Y15-64,2017,9.4872,,,,R1:2384
FRA,SDG_0852_SEX_AGE_RT,BA:2260,SEX_T,AGE_YTHADULT_Y15-64,2018,9.1066,,,,R1:2384
FRA,SDG_0852_SEX_AGE_RT,BA:2260,SEX_T,AGE_YTHADULT_Y15-64,2019,8.5308,,,,R1:2384
GBR,SDG_0852_SEX_AGE_RT,BA:2247,SEX_T,AGE_YTHADULT_Y15-64,2015,5.4372,,,,R1:2384
GBR,SDG_0852_SEX_AGE_RT,BA:2247,SEX_T,AGE_YTHADULT_Y15-64,2016,4.9368,,,,R1:2384
GBR,SDG_0852_SEX_AGE_RT,BA:2247,SEX_T,AGE_YTHADULT_Y15-64,2017,4.4372,,,,R1:2384
GBR,SDG_0852_SEX_AGE_RT,BA:2247,SEX_T,AGE_YTHADULT_Y15-64,2018,4.0994,,,,R1:2384
GBR,SDG_0852_SEX_AGE_RT,BA:2247,SEX_T,AGE_YTHADULT_Y15-64,2019,3.8272,,,,R1:2384
GEO,SDG_0852_SEX_AGE_RT,BA:13950,SEX_T,AGE_YTHADULT_Y15-64,2017,15.2965,,,,R1:3513
GEO,SDG_0852_SEX_AGE_RT,BA:13950,SEX_T,AGE_YTHADULT_Y15-64,2018,13.9285,,,,R1:3513
GEO,SDG_0852_SEX_AGE_RT,BA:13950,SEX_T,AGE_YTHADULT_Y15-64,2019,12.9351,,,,R1:3513
GEO,SDG_0852_SEX_AGE_RT,BX:180,SEX_T,AGE_YTHADULT_Y15-64,2015,18.5588,,,,R1:3513
GEO,SDG_0852_SEX_AGE_RT,BX:180,SEX_T,AGE_YTHADULT_Y15-64,2016,18.5726,,,,R1:3513
GHA,SDG_0852_SEX_AGE_RT,BA:1163,SEX_T,AGE_YTHADULT_Y15-64,2015,7.0068,,,,R1:3513
GHA,SDG_0852_SEX_AGE_RT,BB:3078,SEX_T,AGE_YTHADULT_Y15-64,2017,4.3881,,,,R1:3513_S14:4077
GMB,SDG_0852_SEX_AGE_RT,BA:7014,SEX_T,AGE_YTHADULT_Y15-64,2018,10.4099,,,,R1:3513_S14:4077
GRC,SDG_0852_SEX_AGE_RT,BA:2240,SEX_T,AGE_YTHADULT_Y15-64,2015,25.1156,,,,R1:2384
GRC,SDG_0852_SEX_AGE_RT,BA:2240,SEX_T,AGE_YTHADULT_Y15-64,2016,23.7042,,,,R1:2384
GRC,SDG_0852_SEX_AGE_RT,BA:2240,SEX_T,AGE_YTHADULT_Y15-64,2017,21.6532,,,,R1:2384
GRC,SDG_0852_SEX_AGE_RT,BA:2240,SEX_T,AGE_YTHADULT_Y15-64,2018,19.4527,,,,R1:2384
GRC,SDG_0852_SEX_AGE_RT,BA:2240,SEX_T,AGE_YTHADULT_Y15-64,2019,17.469,,,,R1:2384
GTM,SDG_0852_SEX_AGE_RT,BA:660,SEX_T,AGE_YTHADULT_Y15-64,2015,2.6316,,,,R1:3513
GTM,SDG_0852_SEX_AGE_RT,BA:660,SEX_T,AGE_YTHADULT_Y15-64,2016,2.7129,,,,R1:3513
GTM,SDG_0852_SEX_AGE_RT,BA:660,SEX_T,AGE_YTHADULT_Y15-64,2017,2.5858,,,,R1:3513
GUY,SDG_0852_SEX_AGE_RT,BA:1214,SEX_T,AGE_YTHADULT_Y15-64,2018,14.3384,,,,R1:3513_S3:10
HND,SDG_0852_SEX_AGE_RT,BX:504,SEX_T,AGE_YTHADULT_Y15-64,2017,5.8636,,,,R1:3513_S3:9
HND,SDG_0852_SEX_AGE_RT,BX:504,SEX_T,AGE_YTHADULT_Y15-64,2018,5.9439,,,,R1:3513_S3:9
HND,SDG_0852_SEX_AGE_RT,BX:504,SEX_T,AGE_YTHADULT_Y15-64,2019,6.0426,,,,R1:3513_S3:9
HRV,SDG_0852_SEX_AGE_RT,BA:2251,SEX_T,AGE_YTHADULT_Y15-64,2015,16.392,,,,R1:2384
HRV,SDG_0852_SEX_AGE_RT,BA:2251,SEX_T,AGE_YTHADULT_Y15-64,2016,13.2681,,,,R1:2384
HRV,SDG_0852_SEX_AGE_RT,BA:2251,SEX_T,AGE_YTHADULT_Y15-64,2017,11.3036,,,,R1:2384
HRV,SDG_0852_SEX_AGE_RT,BA:2251,SEX_T,AGE_YTHADULT_Y15-64,2018,8.5474,,,,R1:2384
HRV,SDG_0852_SEX_AGE_RT,BA:2251,SEX_T,AGE_YTHADULT_Y15-64,2019,6.7154,,,,R1:2384
HUN,SDG_0852_SEX_AGE_RT,BA:2237,SEX_T,AGE_YTHADULT_Y15-64,2015,6.8478,,,,R1:2384
HUN,SDG_0852_SEX_AGE_RT,BA:2237,SEX_T,AGE_YTHADULT_Y15-64,2016,5.1475,,,,R1:2384
HUN,SDG_0852_SEX_AGE_RT,BA:2237,SEX_T,AGE_YTHADULT_Y15-64,2017,4.1949,,,,R1:2384
HUN,SDG_0852_SEX_AGE_RT,BA:2237,SEX_T,AGE_YTHADULT_Y15-64,2018,3.7482,,,,R1:2384
HUN,SDG_0852_SEX_AGE_RT,BA:2237,SEX_T,AGE_YTHADULT_Y15-64,2019,3.4536,,,,R1:2384
IDN,SDG_0852_SEX_AGE_RT,BA:510,SEX_T,AGE_YTHADULT_Y15-64,2015,4.7196,,,,R1:3513
IDN,SDG_0852_SEX_AGE_RT,BA:510,SEX_T,AGE_YTHADULT_Y15-64,2016,4.496,,,,R1:3513
IDN,SDG_0852_SEX_AGE_RT,BA:510,SEX_T,AGE_YTHADULT_Y15-64,2017,4.0676,,,,R1:3513
IDN,SDG_0852_SEX_AGE_RT,BA:510,SEX_T,AGE_YTHADULT_Y15-64,2018,4.6184,,,,R1:3513
IDN,SDG_0852_SEX_AGE_RT,BA:510,SEX_T,AGE_YTHADULT_Y15-64,2019,3.8117,,,,R1:3513
IND,SDG_0852_SEX_AGE_RT,BA:14121,SEX_T,AGE_YTHADULT_Y15-64,2018,5.5147,,,,R1:3513_S3:26
IRL,SDG_0852_SEX_AGE_RT,BA:772,SEX_T,AGE_YTHADULT_Y15-64,2015,10.1369,,,,R1:2384
IRL,SDG_0852_SEX_AGE_RT,BA:772,SEX_T,AGE_YTHADULT_Y15-64,2016,8.5677,,,,R1:2384
IRL,SDG_0852_SEX_AGE_RT,BA:772,SEX_T,AGE_YTHADULT_Y15-64,2017,6.8699,B,,I11:264,R1:2384
IRL,SDG_0852_SEX_AGE_RT,BA:772,SEX_T,AGE_YTHADULT_Y15-64,2018,5.8878,,,,R1:2384
IRL,SDG_0852_SEX_AGE_RT,BA:772,SEX_T,AGE_YTHADULT_Y15-64,2019,5.0821,,,,R1:2384
IRN,SDG_0852_SEX_AGE_RT,BA:675,SEX_T,AGE_YTHADULT_Y15-64,2015,11.28,,,,S5:40_T2:239
IRN,SDG_0852_SEX_AGE_RT,BA:675,SEX_T,AGE_YTHADULT_Y15-64,2016,12.67,,,,S5:40_T2:239
IRN,SDG_0852_SEX_AGE_RT,BA:675,SEX_T,AGE_YTHADULT_Y15-64,2017,12.34,,,,S14:3359_S5:40_T2:239
IRN,SDG_0852_SEX_AGE_RT,BA:675,SEX_T,AGE_YTHADULT_Y15-64,2018,12.31,,,,S14:3359_S5:40_T2:239
IRQ,SDG_0852_SEX_AGE_RT,BB:3075,SEX_T,AGE_YTHADULT_Y15-64,2016,10.86,,,,
IRQ,SDG_0852_SEX_AGE_RT,BB:3075,SEX_T,AGE_YTHADULT_Y15-64,2017,13.05,,,,
ISL,SDG_0852_SEX_AGE_RT,BA:2255,SEX_T,AGE_YTHADULT_Y15-64,2015,4.1591,,,,R1:2384
