ref_area,indicator,source,sex,classif1,time,obs_value,note_source
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y55-59,2018,751.025,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y60-64,2018,568.217,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_YGE65,2018,960.83,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_TOTAL,2018,37171.921,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YLT15,2018,16017.431,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y15-24,2018,8071.334,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y25-34,2018,5186.96,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y35-44,2018,3447.785,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y45-54,2018,2168.34,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y55-64,2018,1319.242,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YGE65,2018,960.83,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_TOTAL,2018,37171.921,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_YLT15,2018,16017.431,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y15-24,2018,8071.334,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y25-54,2018,10803.085,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_AGGREGATE_Y55-64,2018,1319.242,R1:2474
