Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
MNE,77.0,2.0,5506766651.0,8850.0,5.1,114.0,82.0,337.0,94.0,33.0,628.0
MNG,70.0,14.0,13108769496.0,4135.0,7.2,964.0,460.0,1617.0,129.0,32.0,3170.0
MNP,,,1323000000.0,23259.0,-19.6,13.0,9.0,31.0,4.0,8.0,57.0
MOZ,60.0,54.0,14717223207.0,499.0,3.4,13176.0,6004.0,9463.0,853.0,64.0,29496.0
MRT,65.0,52.0,7049169771.0,1601.0,2.1,1765.0,844.0,1656.0,138.0,46.0,4403.0
MSR,,,,,,1.0,,3.0,1.0,,5.0
MTQ,,,,,,61.0,47.0,191.0,77.0,,376.0
MUS,74.0,14.0,14181803715.0,11208.0,3.8,225.0,193.0,703.0,145.0,59.0,1267.0
MWI,64.0,35.0,6917301909.0,381.0,3.2,7965.0,3769.0,5929.0,480.0,83.0,18143.0
MYS,76.0,7.0,358581943446.0,11373.0,4.7,7565.0,5626.0,16233.0,2103.0,24.0,31528.0
MYT,,,,,,104.0,50.0,95.0,10.0,,260.0
NAM,63.0,29.0,13454211124.0,5495.0,0.7,904.0,487.0,968.0,89.0,50.0,2448.0
NCL,77.0,,,,,64.0,44.0,146.0,26.0,29.0,280.0
NER,62.0,48.0,12826750567.0,572.0,7.0,11218.0,4315.0,6327.0,582.0,84.0,22443.0
NGA,54.0,76.0,398160403207.0,2033.0,1.9,85924.0,37502.0,67068.0,5381.0,50.0,195875.0
NIC,74.0,16.0,13063873078.0,2021.0,-4.0,1953.0,1194.0,2979.0,339.0,41.0,6466.0
NIU,,,,,,,,1.0,,,2.0
NLD,82.0,3.0,914104847814.0,53048.0,2.6,2748.0,2054.0,8983.0,3275.0,9.0,17060.0
NOR,83.0,2.0,434166615432.0,81734.0,1.3,937.0,678.0,2814.0,910.0,18.0,5338.0
